BCH,Bitcoin ABC,0.00000660,0.85159722
BRAZ,Brazio,1.56250000,131940.31250000
BSV,Bitcoin SV,0.00001090,2.06135922
BTB,BitBall,0.74701195,0.00000000
BTC,Bitcoin,0.00000017,0.05823416
BTG,Bitcoin Gold,0.00024414,2.17104648
BUEN,Buenos,3.67647059,129100.26258451
DOGE,Dogecoin,0.64655172,121010.21555790
ETH,Ethereum,0.00000430,0.31764047
ETN,Electroneum,0.18596947,26096.79834295
IXI,Ixian Ixicash,0.01562500,11888.97647367
LTC,Litecoin,0.00003606,4.43722636
PLUS1,Plusonecoin,0.05357143,19118.67432860
RVN,Ravencoin,0.07812500,7806.87074144
VEGI,Veggie,6.69642857,186201.78571523
WIZ,Crowdwiz,0.66964286,0.00000000
XMR,Monero,0.00001972,0.81600360
